,no rank,superkingdom,order,family,genus,species,phylum,class,clade,strain,isolate,subphylum
272844,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus abyssi,Euryarchaeota,Thermococci,,Pyrococcus abyssi GE5,,
35746,cellular organisms,Archaea,Haloferacales,Haloferacaceae,Haloferax,Haloferax gibbonsii,Euryarchaeota,Halobacteria,Stenosarchaea group,,,
1434120,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina siciliae,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina siciliae T4/M,,
1434119,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina siciliae,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina siciliae HI350,,
1434118,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosarcina,Methanosarcina siciliae,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosarcina siciliae C2J,,
267377,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis S2,,
402880,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis C5,,
426368,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis C7,,
444158,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis C6,,
1053692,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis X1,,
637914,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis KA1,,
637915,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,Methanococcus maripaludis OS7,,
39152,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus maripaludis,Euryarchaeota,Methanococci,Methanomada group,,,
679901,cellular organisms,Archaea,Methanosarcinales,Methanosarcinaceae,Methanosalsum,Methanosalsum zhilinae,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanosalsum zhilinae DSM 4017,,
41673,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Acidianus,Acidianus brierleyi,Crenarchaeota,Thermoprotei,TACK group,,,
41675,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Stygiolobus,Stygiolobus azoricus,Crenarchaeota,Thermoprotei,TACK group,,,
419665,cellular organisms,Archaea,Methanococcales,Methanococcaceae,Methanococcus,Methanococcus aeolicus,Euryarchaeota,Methanococci,Methanomada group,Methanococcus aeolicus Nankai-3,,
429572,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus L.S.2.15,,
427317,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus M.14.25,,
427318,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus M.16.27,,
426118,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus M.16.4,,
439386,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus Y.G.57.14,,
419942,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus Y.N.15.51,,
930945,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus REY15A,,
930943,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus HVE10/4,,
1241935,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Sulfolobus,Sulfolobus islandicus,Crenarchaeota,Thermoprotei,TACK group,Sulfolobus islandicus LAL14/1,,
399549,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,Crenarchaeota,Thermoprotei,TACK group,Metallosphaera sedula DSM 5348,,
43687,cellular organisms,Archaea,Sulfolobales,Sulfolobaceae,Metallosphaera,Metallosphaera sedula,Crenarchaeota,Thermoprotei,TACK group,,,
797304,cellular organisms,Archaea,Natrialbales,Natrialbaceae,Natronobacterium,Natronobacterium gregoryi,Euryarchaeota,Halobacteria,Stenosarchaea group,Natronobacterium gregoryi SP2,,
49899,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus profundus,Euryarchaeota,Thermococci,,,,
273116,cellular organisms,Archaea,Thermoplasmatales,Thermoplasmataceae,Thermoplasma,Thermoplasma volcanium,Euryarchaeota,Thermoplasmata,Diaforarchaea group,Thermoplasma volcanium GSS1,,
634497,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica,Euryarchaeota,Halobacteria,Stenosarchaea group,Haloarcula hispanica ATCC 33960,,
1417673,cellular organisms,Archaea,Halobacteriales,Haloarculaceae,Haloarcula,Haloarcula hispanica,Euryarchaeota,Halobacteria,Stenosarchaea group,Haloarcula hispanica N601,,
53952,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus peptonophilus,Euryarchaeota,Thermococci,,,,
70601,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Pyrococcus,Pyrococcus horikoshii,Euryarchaeota,Thermococci,,Pyrococcus horikoshii OT3,,
54077,cellular organisms,Archaea,Thermococcales,Thermococcaceae,Thermococcus,Thermococcus barossii,Euryarchaeota,Thermococci,,,,
679926,cellular organisms,Archaea,Methanomicrobiales,Methanomicrobiaceae,Methanolacinia,Methanolacinia petrolearia,Euryarchaeota,Methanomicrobia,Stenosarchaea group,Methanolacinia petrolearia DSM 11571,,
415426,cellular organisms,Archaea,Desulfurococcales,Pyrodictiaceae,Hyperthermus,Hyperthermus butylicus,Crenarchaeota,Thermoprotei,TACK group,Hyperthermus butylicus DSM 5456,,
694429,cellular organisms,Archaea,Desulfurococcales,Pyrodictiaceae,Pyrolobus,Pyrolobus fumarii,Crenarchaeota,Thermoprotei,TACK group,Pyrolobus fumarii 1A,,
633148,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Thermosphaera,Thermosphaera aggregans,Crenarchaeota,Thermoprotei,TACK group,Thermosphaera aggregans DSM 11486,,
940295,cellular organisms,Archaea,Desulfurococcales,Desulfurococcaceae,Ignicoccus,Ignicoccus islandicus,Crenarchaeota,Thermoprotei,TACK group,Ignicoccus islandicus DSM 13165,,
