,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,branch_length
1460,1.3333333333333333,1.0,1.0,1792808.0,38.278950617650004,0.5955975624391666,6,125.33333333333333,0.0474334
1470,3.0,1.0,1.0,1897235.0,32.2106265331,0.6052294833575,2,128.0,1.13079e-06
1473,3.0,1.0,1.0,1886984.0,32.225553718949996,0.6223823810675,2,131.5,1.13079e-06
1474,3.0,1.0,1.0,1892109.5,32.218090126025,0.6138059322125,4,129.75,1.13079e-06
1475,3.0,1.0,1.0,1892464.8,32.22531444296,0.613218600783,5,130.2,0.00155208
1476,3.0,1.0,1.0,1895392.5,32.266932478583335,0.6093252016751667,6,129.83333333333334,1.13079e-06
1477,3.0,1.1428571428571428,1.1428571428571428,1917055.4285714286,31.984895154214286,0.6072193012061428,7,129.42857142857142,0.00310423
1478,3.0,1.125,1.125,1916625.875,32.0538807333625,0.606081047045,8,132.875,0.00154867
1479,3.0,1.1111111111111112,1.1111111111111112,1911468.111111111,32.10103774465556,0.6046813964555554,9,132.77777777777777,0.00379501
1480,3.0,1.1,1.1,1914852.3,32.12330310416,0.6029233623692,10,136.7,0.0282825
1487,2.0,1.0,1.0,1853398.5,32.2613409138,0.602349621799,2,161.0,0.0325715
1490,3.0,1.0,1.0,2025959.0,32.640865629699995,0.5636593639155001,2,149.0,0.0320604
1491,2.5,1.0,1.0,1939678.75,32.45110327175,0.58300449285725,4,155.0,1.13079e-06
1492,2.6,1.2,1.2,1982153.8,32.045465677619994,0.5805393501414,5,153.0,0.00976521
1493,2.6666666666666665,1.1666666666666667,1.1666666666666667,1988028.1666666667,32.138066512183336,0.5796005269783333,6,149.83333333333334,0.00161419
1495,2.7142857142857144,1.4285714285714286,1.4285714285714286,1994554.7142857143,32.007055481085715,0.5773035306038572,7,149.14285714285714,1.13079e-06
1496,2.75,1.5,1.5,1985743.0,32.048403241174995,0.576142766259375,8,148.25,0.00323623
1497,2.7777777777777777,1.5555555555555556,1.5555555555555556,1992850.5555555555,31.876536547999997,0.5749856512485555,9,148.55555555555554,0.0108733
1498,2.8947368421052633,1.3157894736842106,1.3157894736842106,1951798.8421052631,32.006413682821055,0.5896897097331054,19,142.31578947368422,0.0544278
1499,2.9,1.35,1.35,1937285.25,31.922756990835,0.5889892677160501,20,141.0,0.31803
1502,6.0,5.0,5.0,3377674.0,39.0202077072,0.6069508502209999,2,93.0,0.248913
1503,3.1818181818181817,1.6818181818181819,1.6818181818181819,2068229.6818181819,32.56797978323181,0.5906221388528636,22,136.63636363636363,0.0337813
1506,2.0,1.0,1.0,2045407.0,46.44621774535,0.5508916173045,2,127.5,0.0996365
1508,2.3333333333333335,1.0,1.0,2172849.3333333335,45.3408025733,0.534294491511,3,131.0,0.183559
1509,3.08,1.6,1.6,2080784.04,34.10071851804,0.5838628211718401,25,135.96,0.0319519
1510,2.7419354838709675,1.4838709677419355,1.4838709677419355,2025046.7419354839,34.90940860183549,0.5861340614171292,31,133.90322580645162,0.0570247
1511,6.371900826446281,1.9272727272727272,1.9272727272727272,4372606.221487603,48.50154505980432,0.5793669026211224,605,201.69752066115703,0.0149942
1512,6.316558441558442,1.9237012987012987,1.9237012987012987,4358425.917207792,48.323667954462195,0.5787058384894073,616,200.78571428571428,0.0178027
1516,3.0,1.5,1.5,4924196.0,50.017069029299996,0.5569335441945,2,168.5,0.107745
1519,3.0,1.5,1.5,2941240.5,47.972889942600005,0.5541214213005,2,168.0,0.250732
1521,2.3333333333333335,1.3333333333333333,1.3333333333333333,2748565.3333333335,45.98155566483334,0.561016924618,3,157.33333333333334,0.0607711
1522,2.6,1.4,1.4,3618817.6,47.595761010619995,0.5593835724486,5,161.8,0.0387872
1523,2.5,1.5,1.5,3676062.0,48.992578905150005,0.5624821818598332,6,159.83333333333334,0.0512893
1524,6.279742765273312,1.9196141479099678,1.9196141479099678,4351843.628617363,48.33012047167141,0.5785493401939451,622,200.39067524115757,0.02613
1525,6.240445859872612,1.9187898089171975,1.9187898089171975,4345861.323248408,48.462735827310524,0.5788502244140381,628,199.86624203821657,0.0357573
1531,1.0,1.5,1.5,2014065.5,41.81002372725,0.6402425152055,2,137.5,1.13079e-06
1532,1.0,1.3333333333333333,1.3333333333333333,2012333.6666666667,42.08438985266667,0.6381234784376667,3,141.0,1.13079e-06
1534,1.0,1.5,1.5,2034845.25,41.854501048925,0.637133873419,4,137.0,0.00149172
1536,1.0,1.6,1.6,2038625.0,41.69308145784,0.6365721393356,5,137.2,0.042295
1537,1.0,1.5,1.5,1987827.5,41.10631717020001,0.6417210599465001,6,126.83333333333333,0.0382745
1538,1.0,1.4285714285714286,1.4285714285714286,1797695.142857143,40.1758266972,0.6554792435454286,7,117.28571428571429,0.153875
