"tax_id","parent_id","rank","tax_name","root","root_","superkingdom","superkingdom_","superkingdom__","phylum","phylum_","phylum__","class","class_","order","order_","order__","family","family_","genus","species","species_"
"230361","2172","species","Methanobrevibacter millerae","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","230361",""
"294671","2172","species","Methanobrevibacter olleyae","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","294671",""
"83816","2172","species","Methanobrevibacter ruminantium","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","83816",""
"634498","83816","species_","Methanobrevibacter ruminantium M1","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2172","83816","634498"
"2316","2159","genus","Methanosphaera","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2316","",""
"1789762","2316","species","Methanosphaera sp. BMS","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2316","1789762",""
"2317","2316","species","Methanosphaera stadtmanae","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2316","2317",""
"339860","2317","species_","Methanosphaera stadtmanae DSM 3091","1","131567","2157","","","28890","2283794","","183925","","2158","","","2159","","2316","2317","339860"
"2178","2158","family","Methanothermaceae","1","131567","2157","","","28890","2283794","","183925","","2158","","","2178","","","",""
"2179","2178","genus","Methanothermus","1","131567","2157","","","28890","2283794","","183925","","2158","","","2178","","2179","",""
"2180","2179","species","Methanothermus fervidus","1","131567","2157","","","28890","2283794","","183925","","2158","","","2178","","2179","2180",""
"523846","2180","species_","Methanothermus fervidus DSM 2088","1","131567","2157","","","28890","2283794","","183925","","2158","","","2178","","2179","2180","523846"
"183939","2283794","class","Methanococci","1","131567","2157","","","28890","2283794","","183939","","","","","","","","",""
"2182","183939","order","Methanococcales","1","131567","2157","","","28890","2283794","","183939","","2182","","","","","","",""
"196117","2182","family","Methanocaldococcaceae","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","","",""
"196118","196117","genus","Methanocaldococcus","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","",""
"1301915","196118","species","Methanocaldococcus bathoardescens","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","1301915",""
"2190","196118","species","Methanocaldococcus jannaschii","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","2190",""
"243232","2190","species_","Methanocaldococcus jannaschii DSM 2661","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","2190","243232"
"644281","196118","species","Methanocaldococcus sp. FS406-22","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","644281",""
"67760","196118","species","Methanocaldococcus infernus","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","67760",""
"573063","67760","species_","Methanocaldococcus infernus ME","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","67760","573063"
"73913","196118","species","Methanocaldococcus vulcanius","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","73913",""
"579137","73913","species_","Methanocaldococcus vulcanius M7","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","73913","579137"
"83171","196118","species","Methanocaldococcus fervens","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","83171",""
"573064","83171","species_","Methanocaldococcus fervens AG86","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196118","83171","573064"
"196119","196117","genus","Methanotorris","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196119","",""
"2189","196119","species","Methanotorris igneus","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196119","2189",""
"880724","2189","species_","Methanotorris igneus Kol 5","1","131567","2157","","","28890","2283794","","183939","","2182","","","196117","","196119","2189","880724"
"2183","2182","family","Methanococcaceae","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","","",""
"155862","2183","genus","Methanothermococcus","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","155862","",""
"155863","155862","species","Methanothermococcus okinawensis","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","155862","155863",""
"647113","155863","species_","Methanothermococcus okinawensis IH1","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","155862","155863","647113"
"2184","2183","genus","Methanococcus","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","",""
"2187","2184","species","Methanococcus vannielii","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","2187",""
"406327","2187","species_","Methanococcus vannielii SB","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","2187","406327"
"2188","2184","species","Methanococcus voltae","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","2188",""
"456320","2188","species_","Methanococcus voltae A3","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","2188","456320"
"39152","2184","species","Methanococcus maripaludis","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","39152",""
"267377","39152","species_","Methanococcus maripaludis S2","1","131567","2157","","","28890","2283794","","183939","","2182","","","2183","","2184","39152","267377"
