"seqname","accession","tax_id","species_name","is_type"
"GCF_000015765.1_Methanocorpusculum_labreanum_Z_strain_Z","","410358","",""
"GCF_000304355.2_Methanoculleus_bourgensis_MS2_strain_MS2T","","1201294","",""
"GCF_000025285.1_Archaeoglobus_profundus_DSM_5631_strain_DSM_5631","","572546","",""
"GCF_000092465.1_Staphylothermus_hellenicus_DSM_12710_strain_DSM_12710","","591019","",""
"GCF_900036045.1_Methanoculleus_sp._MAB1","","86622","",""
"GCF_005576615.1_Natrinema_versiforme_strain_BOL5-4","","88724","",""
"GCF_000020905.1_Desulfurococcus_amylolyticus_1221n_strain_1221n","","490899","",""
"GCF_000231015.2_Desulfurococcus_amylolyticus_DSM_16532_strain_DSM_16532","","768672","",""
"GCF_000152265.2_Ferroplasma_acidarmanus_fer1_strain_fer1","","333146","",""
"GCF_000328665.1_Methanomethylovorans_hollandica_DSM_15978_strain_DSM_15978","","867904","",""
"GCF_000816105.1_Thermococcus_guaymasensis_DSM_11113_strain_DSM_11113","","1432656","",""
"GCF_000011205.1_Sulfurisphaera_tokodaii_str._7_strain_7","","273063","",""
"GCF_001006045.1_Geoglobus_ahangari_strain_234","","113653","",""
"GCF_900095295.1_Methanobacterium_congolense","","118062","",""
"GCF_000016385.1_Pyrobaculum_arsenaticum_DSM_13514_strain_DSM_13514","","340102","",""
"GCF_002214525.1_Thermococcus_sp._P6_strain_P6","","122420","",""
"GCF_900095815.1_Methanothermobacter_wolfeii","","145261","",""
"GCF_000008645.1_Methanothermobacter_thermautotrophicus_str._Delta_H_strain_Delta_H","","187420","",""
"GCF_000145295.1_Methanothermobacter_marburgensis_str._Marburg_strain_Marburg","","79929","",""
"GCF_000023945.1_Halorhabdus_utahensis_DSM_12940_strain_DSM_12940","","519442","",""
"GCF_000179575.2_Methanothermococcus_okinawensis_IH1_strain_IH1","","647113","",""
"GCF_000017945.1_Ignicoccus_hospitalis_KIN4/I_strain_KIN4/I","","453591","",""
"GCF_000265525.1_Thermococcus_cleftensis_strain_CL1","","163003","",""
"GCF_000148385.1_Vulcanisaeta_distributa_DSM_14429_strain_DSM_14429","","572478","",""
"GCF_000970265.1_Methanosarcina_lacustris_Z-7289_strain_Z-7289","","1434111","",""
"GCF_000022545.1_Thermococcus_sibiricus_MM_739_strain_MM_739","","604354","",""
"GCF_000193375.1_Thermoproteus_uzoniensis_768-20_strain_768-20","","999630","",""
"GCF_000022365.1_Thermococcus_gammatolerans_EJ3_strain_EJ3__DSM_15229","","593117","",""
"GCF_002214565.1_Thermococcus_radiotolerans_strain_EJ2","","187880","",""
"GCF_000585495.1_Thermococcus_nautili_strain_30-1","","195522","",""
"GCF_000317795.1_Caldisphaera_lagunensis_DSM_15908_strain_DSM_15908","","1056495","",""
"GCF_000404165.1_Methanobrevibacter_sp._AbM4_strain_AbM4","","224719","",""
"GCF_000226975.2_Halobiforma_lacisalsi_AJ5_strain_AJ5","","358396","",""
"GCF_000591035.1_Aeropyrum_camini_SY1___JCM_12091_strain_SY1","","1198449","",""
"GCF_001477655.1_Methanobrevibacter_millerae_strain_SM9","","230361","",""
"GCF_000144915.1_Acidilobus_saccharovorans_345-15_strain_345-15","","666510","",""
"GCF_000151205.2_Thermococcus_sp._AM4_strain_AM4","","246969","",""
"GCF_002214545.1_Thermococcus_thioreducens_strain_OGL-20P","","277988","",""
"GCF_002116695.1_Acidianus_manzaensis_strain_YN-25","","282676","",""
"GCF_000009185.1_Haloquadratum_walsbyi_DSM_16790_strain_DSM_16790___HBSQ001","","362976","",""
"GCF_000237865.1_Haloquadratum_walsbyi_C23","","768065","",""
"GCF_001563245.1_Methanobrevibacter_olleyae_strain_YLM1","","294671","",""
"GCF_000235565.1_Methanosaeta_harundinacea_6Ac_strain_6Ac","","1110509","",""
"GCF_003201765.1_Acidianus_sulfidivorans_JP7_strain_JP7","","619593","",""
"GCF_004126515.1_Halorubrum_ezzemoulense_strain_Fb21","","337243","",""
"GCF_000018465.1_Nitrosopumilus_maritimus_SCM1_strain_SCM1","","436308","",""
