,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
98,3.0,2.0,5683.5,6314271.0,59.39295748431485,0.4550333228169313,2.0,226.0,46.0,0.0341358
101,3.0,2.5,4917.0,5600178.5,63.43068877901672,0.4409464456685909,2.0,218.0,100.0,0.0616851
103,2.6666666666666665,2.3333333333333335,4702.666666666667,5306440.0,64.66534044488095,0.45020059770624066,3.0,212.66666666666666,76.66666666666667,0.0276355
104,2.8,2.2,5095.0,5709572.4,62.55638726065452,0.4521336877505169,5.0,218.0,64.4,0.0761112
105,2.7142857142857144,2.2857142857142856,4971.142857142857,5571676.285714285,64.0490937994012,0.45840013140124175,7.0,217.71428571428572,133.0,0.0270319
106,1.8666666666666667,1.6,4171.733333333334,4632006.866666666,62.49151657192464,0.4706874855052939,15.0,191.66666666666666,193.66666666666666,0.0222282
112,2.5,1.0,3804.0,4087330.5,62.256247267355164,0.5149603425194553,2.0,197.0,258.0,0.023616
113,2.3333333333333335,1.0,4104.333333333333,4402551.666666667,63.430596706336225,0.5087558374401825,3.0,190.66666666666666,229.66666666666666,0.0497052
115,2.25,1.0,4174.75,4450476.0,63.77100840977848,0.5027065498669874,4.0,189.25,217.5,0.0186939
116,2.2,1.2,4088.8,4350158.2,63.28962182736855,0.49924788486768384,5.0,187.2,179.6,0.0391044
117,2.1666666666666665,1.5,4014.6666666666665,4242356.166666667,61.47296432197127,0.4934778708037651,6.0,187.16666666666666,209.83333333333334,0.0412938
121,2.0,1.5,6001.0,6445281.0,62.70268902613232,0.4625339095519535,2.0,223.0,272.5,0.00245869
125,2.0,6.0,5720.5,6042627.5,63.00719093949911,0.4543787149103249,2.0,221.0,68.5,0.00326826
126,2.3333333333333335,5.666666666666667,5957.0,6325327.0,63.049910734492606,0.4540060263359805,3.0,222.0,46.0,0.0379123
127,2.2,4.0,5974.6,6373308.6,62.91102205114849,0.4574171796223697,5.0,222.4,136.6,0.01294
130,1.5,1.5,3774.5,4096670.5,60.26559991641432,0.4695817905791255,2.0,182.5,251.5,0.0288233
