"tax_id","parent_id","rank","tax_name","root","below_root","superkingdom","below_superkingdom","below_below_superkingdom","phylum","below_phylum","below_below_phylum","subphylum","class","below_class","below_below_class","subclass","order","below_order","below_below_order","suborder","family","below_family","below_below_family","below_below_below_family","subfamily","tribe","genus","below_genus","subgenus","species_group","species_subgroup","below_species_subgroup","species","below_species","below_below_species","below_below_below_species","subspecies","below_subspecies","below_below_subspecies","below_below_below_subspecies"
"150054","102684","subspecies","Streptococcus infantarius subsp. infantarius","1","131567","2","1783272","","1239","","","","91061","","","","186826","","","","1300","","","","","","1301","","","","","","102684","","","","150054","","",""
"477245","68192","subspecies","Streptomyces cyaneogriseus subsp. noncyanogenus","1","131567","2","1783272","","201174","","","","1760","","","","85011","","","","2062","","","","","","1883","","","","","","68192","","","","477245","","",""
"67263","1911","subspecies","Streptomyces griseus subsp. griseus","1","131567","2","1783272","","201174","","","","1760","","","","85011","","","","2062","","","","","","1883","","","","629295","1482596","1911","","","","67263","","",""
"311982","1912","subspecies","Streptomyces hygroscopicus subsp. jinggangensis","1","131567","2","1783272","","201174","","","","1760","","","","85011","","","","2062","","","","","","1883","","","","","","1912","","","","311982","","",""
"264445","1912","subspecies","Streptomyces hygroscopicus subsp. limoneus","1","131567","2","1783272","","201174","","","","1760","","","","85011","","","","2062","","","","","","1883","","","","","","1912","","","","264445","","",""
"370885","863","subspecies","Syntrophomonas wolfei subsp. wolfei","1","131567","2","1783272","","1239","","","","186801","","","","186802","","","","68298","","","","","","862","","","","","","863","","","","370885","","",""
"29325","29323","subspecies","Thermoanaerobacter brockii subsp. finnii","1","131567","2","1783272","","1239","","","","186801","","","","68295","","","","186814","","","","","","1754","","","","","","29323","","","","29325","","",""
"57481","583357","subspecies","Thermoanaerobacter mathranii subsp. mathranii","1","131567","2","1783272","","1239","","","","186801","","","","68295","","","","186814","","","","","","1754","","","","","","583357","","","","57481","","",""
"161","160","subspecies","Treponema pallidum subsp. pallidum","1","131567","2","","","203691","","","","203692","","","","136","","","","137","","","","","","157","","","","","","160","","","","161","","",""
"611301","346","subspecies","Xanthomonas citri subsp. citri","1","131567","2","","","1224","","","","1236","","","","135614","","","","32033","","","","","","338","","","643453","","","346","","","","611301","","",""
"366649","366648","subspecies","Xanthomonas fuscans subsp. fuscans","1","131567","2","","","1224","","","","1236","","","","135614","","","","32033","","","","","","338","","","643453","","","366648","","","","366649","","",""
"671135","2371","subspecies","Xylella fastidiosa subsp. sandyi","1","131567","2","","","1224","","","","1236","","","","135614","","","","32033","","","","","","2370","","","","","","2371","","","","671135","","",""
"150052","630","subspecies","Yersinia enterocolitica subsp. enterocolitica","1","131567","2","","","1224","","","","1236","","","","91347","","","","1903411","","","","","","629","","","","","","630","","","","150052","","",""
"150053","630","subspecies","Yersinia enterocolitica subsp. palearctica","1","131567","2","","","1224","","","","1236","","","","91347","","","","1903411","","","","","","629","","","","","","630","","","","150053","","",""
"1234659","632","subspecies","Yersinia pestis subsp. microtus","1","131567","2","","","1224","","","","1236","","","","91347","","","","1903411","","","","","","629","","","1649845","","","632","","","","1234659","","",""
"120045","542","subspecies","Zymomonas mobilis subsp. mobilis","1","131567","2","","","1224","","","","28211","","","","204457","","","","41297","","","","","","541","","","","","","542","","","","120045","","",""
"120044","542","subspecies","Zymomonas mobilis subsp. pomaceae","1","131567","2","","","1224","","","","28211","","","","204457","","","","41297","","","","","","541","","","","","","542","","","","120044","","",""
"160845","1510","subspecies","[Clostridium] stercorarium subsp. stercorarium","1","131567","2","1783272","","1239","","","","186801","","","","186802","","","","541000","","","","","","1508657","","","","","","1510","","","","160845","","",""
"634452","481145","below_subspecies","Acetobacter pasteurianus IFO 3283-01","1","131567","2","","","1224","","","","28211","","","","204441","","","","433","","","","","","434","","","","","","438","","","","481145","634452","",""
"643561","80870","below_subspecies","Acidovorax avenae subsp. avenae ATCC 19860","1","131567","2","","","1224","","","","28216","","","","80840","","","","80864","","","","","","12916","","","","","","80867","","","","80870","643561","",""
"380703","196023","below_subspecies","Aeromonas hydrophila subsp. hydrophila ATCC 7966","1","131567","2","","","1224","","","","1236","","","","135624","","","","84642","","","","","","642","","","","","","644","","","","196023","380703","",""
"382245","29491","below_subspecies","Aeromonas salmonicida subsp. salmonicida A449","1","131567","2","","","1224","","","","1236","","","","135624","","","","84642","","","","","","642","","","","","","645","","","","29491","382245","",""
"521098","1388","below_subspecies","Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186823","","","","","","29330","","","","","","405212","","","","1388","521098","",""
"1048834","1388","below_subspecies","Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186823","","","","","","29330","","","","","","405212","","","","1388","1048834","",""
"645657","86029","below_subspecies","Bacillus subtilis subsp. natto BEST195","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186817","","","","","","1386","","","653685","","","1423","","","","86029","645657","",""
"1052585","96241","below_subspecies","Bacillus subtilis subsp. spizizenii TU-B-10","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186817","","","","","","1386","","","653685","","","1423","","","","96241","1052585","",""
"655816","96241","below_subspecies","Bacillus subtilis subsp. spizizenii str. W23","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186817","","","","","","1386","","","653685","","","1423","","","","96241","655816","",""
"224308","135461","below_subspecies","Bacillus subtilis subsp. subtilis str. 168","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186817","","","","","","1386","","","653685","","","1423","","","","135461","224308","",""
"1302650","135461","below_subspecies","Bacillus subtilis subsp. subtilis str. BAB-1","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186817","","","","","","1386","","","653685","","","1423","","","","135461","1302650","",""
"1052588","135461","below_subspecies","Bacillus subtilis subsp. subtilis str. RO-NN-1","1","131567","2","1783272","","1239","","","","91061","","","","1385","","","","186817","","","","","","1386","","","653685","","","1423","","","","135461","1052588","",""
"1094497","40933","below_subspecies","Bartonella vinsonii subsp. berkhoffii str. Winnie","1","131567","2","","","1224","","","","28211","","","","356","","","","772","","","","","","773","","","","","","33047","","","","40933","1094497","",""
"395963","31994","below_subspecies","Beijerinckia indica subsp. indica ATCC 9039","1","131567","2","","","1224","","","","28211","","","","356","","","","45404","","","","","","532","","","","","","533","","","","31994","395963","",""
"703613","302912","below_subspecies","Bifidobacterium animalis subsp. animalis ATCC 25527","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","28025","","","","302912","703613","",""
"442563","302911","below_subspecies","Bifidobacterium animalis subsp. lactis AD011","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","28025","","","","302911","442563","",""
"580050","302911","below_subspecies","Bifidobacterium animalis subsp. lactis Bl-04","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","28025","","","","302911","580050","",""
"565040","1682","below_subspecies","Bifidobacterium longum subsp. infantis 157F","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","216816","","","","1682","565040","",""
"391904","1682","below_subspecies","Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","216816","","","","1682","391904","",""
"1300227","1679","below_subspecies","Bifidobacterium longum subsp. longum GT15","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","216816","","","","1679","1300227","",""
"565042","1679","below_subspecies","Bifidobacterium longum subsp. longum JCM 1217","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","216816","","","","1679","565042","",""
"759350","1679","below_subspecies","Bifidobacterium longum subsp. longum JDM301","1","131567","2","1783272","","201174","","","","1760","","","","85004","","","","31953","","","","","","1678","","","","","","216816","","","","1679","759350","",""
"273068","119072","below_subspecies","Caldanaerobacter subterraneus subsp. tengcongensis MB4","1","131567","2","1783272","","1239","","","","186801","","","","68295","","","","186814","","","","","","249529","","","","","","911092","","","","119072","273068","",""
"1240980","32019","below_subspecies","Campylobacter fetus subsp. fetus 04/554","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","196","","","","32019","1240980","",""
"360106","32019","below_subspecies","Campylobacter fetus subsp. fetus 82-40","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","196","","","","32019","360106","",""
"1244528","1507806","below_subspecies","Campylobacter fetus subsp. testudinum 03-427","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","196","","","","1507806","1244528","",""
"1031746","91352","below_subspecies","Campylobacter hyointestinalis subsp. hyointestinalis LMG 9260","1","131567","2","","","1224","","","68525","29547","","","","213849","","","","72294","","","","","","194","","","","","","198","","","","91352","1031746","",""
