,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
53,1.0,1.25,2201.75,2086177.0,54.41335312657696,0.8732640900918422,4.0,103.0,51.0,0.00290121
54,1.0,1.2,2184.8,2078029.2,54.24297981851098,0.8836228440464831,5.0,107.0,106.4,0.00491338
55,1.0,1.3333333333333333,2149.6666666666665,2047708.6666666667,53.825137541430344,0.884174937177672,6.0,106.0,90.5,0.00493606
58,1.0,1.0,1901.5,1797518.0,52.264533704208006,0.9046855821308463,2.0,97.5,19.0,1e-06
59,1.0,1.25,2087.625,1985161.0,53.43498658212476,0.8893025984159655,8.0,103.875,72.625,0.00105304
62,1.0,1.0,2092.0,2020243.5,55.53636990868142,0.8910072766059727,2.0,96.0,114.5,0.00873354
64,1.0,1.0,2072.3333333333335,1996933.3333333333,55.63008064370871,0.8875566455410032,3.0,94.66666666666667,78.33333333333333,1e-06
66,1.0,1.0,2021.25,1944118.25,55.28275599450176,0.8895137514600371,4.0,96.5,68.5,0.00502812
72,1.0,1.0,1952.5,1894620.0,55.56985044443589,0.8848157057177327,2.0,102.5,41.0,0.0012197
74,1.0,1.0,1963.0,1886076.6666666667,55.57912554629194,0.8828737071349372,3.0,101.66666666666667,40.666666666666664,1e-06
75,1.0,1.0,2026.0,1931040.5,55.047562310171145,0.8793795487740591,4.0,101.5,47.5,0.00120143
76,1.0,1.0,1934.2,1849396.0,55.01393797134009,0.8904515696192634,5.0,99.8,45.6,0.00246179
78,1.0,1.0,1921.0,1862630.0,54.36277459176723,0.8901582689225678,6.0,98.5,38.0,0.00237232
79,1.0,1.1428571428571428,1943.0,1888417.5714285714,54.18042791400186,0.8879620850781472,7.0,99.42857142857143,38.0,1e-06
80,1.0,1.0909090909090908,1971.4545454545455,1908672.3636363635,54.581274488729086,0.8885263273988344,11.0,98.36363636363636,49.09090909090909,0.00366636
82,1.0,1.0833333333333333,1968.3333333333333,1903583.5833333333,54.30555997376021,0.8880503496513182,12.0,98.33333333333333,45.583333333333336,0.00145842
83,1.0,1.15,2016.05,1936214.55,53.957330617106024,0.888551249157177,20.0,100.55,56.4,0.0258938
86,1.0,1.5,2117.0,2010989.5,40.981626252213516,0.8625696623261081,2.0,106.0,46.0,0.0127763
87,1.0,1.1818181818181819,2025.2272727272727,1943012.2727272727,52.77772112938853,0.8861892867179889,22.0,101.04545454545455,55.45454545454545,0.00587573
88,1.0,1.1724137931034482,2000.1379310344828,1919904.0,50.786414288604185,0.8760564973851879,29.0,101.93103448275862,58.689655172413794,0.0231499
89,1.0,1.15625,2007.03125,1928106.53125,50.02160204135019,0.8795513545909992,32.0,102.6875,62.34375,0.0150579
91,1.0303030303030303,1.1515151515151516,2005.3030303030303,1926023.606060606,49.810167340876944,0.8810389322424326,33.0,102.87878787878788,63.0,0.142218
98,1.0,1.0,1854.5,1658681.5,41.59055241976991,0.19711489239325874,2.0,95.0,28.5,0.0735203
