,parent_id,rank,tax_name,root,root_,superkingdom,superkingdom_,superkingdom__,superkingdom___,superkingdom____,kingdom,subkingdom,phylum,phylum_,phylum__,subphylum,subphylum_,subphylum__,subphylum___,subphylum____,subphylum_____,subphylum______,subphylum_______,subphylum________,subphylum_________,subphylum__________,subphylum___________,class,class_,subclass,subclass_,order,order_,suborder,superfamily,family,family_,subfamily,tribe,genus,genus_,subgenus,species,species_,species__,varietas,varietas_
85,Bigelowiella,species,Bigelowiella natans,root,cellular organisms,Eukaryota,Rhizaria,Cercozoa,,,,,,,,,,,,,,,,,,,,Chlorarachniophyceae,,,,,,,,,,,,Bigelowiella,,,Bigelowiella natans,,,,
83,Bigelowiella,species,Bigelowiella natans,root,cellular organisms,Eukaryota,Rhizaria,Cercozoa,,,,,,,,,,,,,,,,,,,,Chlorarachniophyceae,,,,,,,,,,,,Bigelowiella,,,Bigelowiella natans,,,,
81,Bigelowiella,species,Bigelowiella natans,root,cellular organisms,Eukaryota,Rhizaria,Cercozoa,,,,,,,,,,,,,,,,,,,,Chlorarachniophyceae,,,,,,,,,,,,Bigelowiella,,,Bigelowiella natans,,,,
79,Bigelowiella,species,Bigelowiella natans,root,cellular organisms,Eukaryota,Rhizaria,Cercozoa,,,,,,,,,,,,,,,,,,,,Chlorarachniophyceae,,,,,,,,,,,,Bigelowiella,,,Bigelowiella natans,,,,
328,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,Discosea,superkingdom___,Flabellinia,root,cellular organisms,Eukaryota,Amoebozoa,Discosea,Flabellinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Discosea,superkingdom___,Flabellinia,root,cellular organisms,Eukaryota,Amoebozoa,Discosea,Flabellinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Discosea,superkingdom___,Flabellinia,root,cellular organisms,Eukaryota,Amoebozoa,Discosea,Flabellinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,Discosea,superkingdom___,Flabellinia,root,cellular organisms,Eukaryota,Amoebozoa,Discosea,Flabellinia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,cellular organisms,superkingdom,Eukaryota,root,cellular organisms,Eukaryota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,Eukaryota,superkingdom_,Euglenozoa,root,cellular organisms,Eukaryota,Euglenozoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
