,n16S,nge,ncds,genome_size,GC,phi,clade_size,npaths_terminal,nec_terminal,branch_length
297,0.0,0.0,0.0,0.0,0.0,0.0,12.0,196.08333333333334,2241.6666666666665,0.0935433
301,0.0,0.0,0.0,0.0,0.0,0.0,2.0,234.0,3222.5,0.0369359
304,0.0,0.0,0.0,0.0,0.0,0.0,2.0,222.0,2459.5,0.0973701
306,0.0,0.0,0.0,0.0,0.0,0.0,3.0,228.66666666666666,2909.6666666666665,0.0143893
308,0.0,0.0,0.0,0.0,0.0,0.0,4.0,233.75,2945.5,0.0120366
310,0.0,0.0,0.0,0.0,0.0,0.0,5.0,229.6,2879.8,0.00905341
312,0.0,0.0,0.0,0.0,0.0,0.0,6.0,222.5,2680.1666666666665,0.0127183
318,0.0,0.0,0.0,0.0,0.0,0.0,2.0,233.0,2757.5,0.000137457
319,0.0,0.0,0.0,0.0,0.0,0.0,3.0,224.0,2559.3333333333335,1e-06
320,0.0,0.0,0.0,0.0,0.0,0.0,4.0,223.25,2506.25,0.0105507
322,0.0,0.0,0.0,0.0,0.0,0.0,5.0,213.8,2293.6,0.057045
323,0.0,0.0,0.0,0.0,0.0,0.0,6.0,207.16666666666666,2023.5,0.0210064
324,0.0,0.0,0.0,0.0,0.0,0.0,12.0,214.83333333333334,2351.8333333333335,0.0709682
325,0.0,0.0,0.0,0.0,0.0,0.0,14.0,217.57142857142858,2476.214285714286,0.129601
326,0.0,0.0,0.0,0.0,0.0,0.0,15.0,214.73333333333332,2498.8,0.0390678
327,0.0,0.0,0.0,0.0,0.0,0.0,27.0,206.44444444444446,2384.5185185185187,0.0180575
331,0.0,0.0,0.0,0.0,0.0,0.0,2.0,199.0,1028.0,1e-06
333,0.0,0.0,0.0,0.0,0.0,0.0,3.0,199.0,998.0,1e-06
334,0.0,0.0,0.0,0.0,0.0,0.0,4.0,201.5,1037.5,0.150821
337,0.0,0.0,0.0,0.0,0.0,0.0,2.0,201.0,1339.5,0.148627
343,0.0,0.0,0.0,0.0,0.0,0.0,2.0,185.0,1111.0,0.0107641
344,0.0,0.0,0.0,0.0,0.0,0.0,3.0,186.0,1142.3333333333333,0.00933458
345,0.0,0.0,0.0,0.0,0.0,0.0,4.0,195.25,1189.75,0.0543603
349,0.0,0.0,0.0,0.0,0.0,0.0,2.0,222.5,1945.5,1e-06
350,0.0,0.0,0.0,0.0,0.0,0.0,3.0,212.66666666666666,1698.6666666666667,0.0225467
351,0.0,0.0,0.0,0.0,0.0,0.0,7.0,202.71428571428572,1407.857142857143,0.242479
352,0.0,0.0,0.0,0.0,0.0,0.0,8.0,213.0,1603.25,0.0409542
353,0.0,0.0,0.0,0.0,0.0,0.0,10.0,210.6,1550.5,0.0400078
357,0.0,0.0,0.0,0.0,0.0,0.0,2.0,257.5,2789.0,0.0192274
359,0.0,0.0,0.0,0.0,0.0,0.0,3.0,264.3333333333333,3090.3333333333335,0.0177794
360,0.0,0.0,0.0,0.0,0.0,0.0,4.0,259.75,3174.5,0.0616152
363,0.0,0.0,0.0,0.0,0.0,0.0,2.0,205.0,1286.0,0.0502559
368,0.0,0.0,0.0,0.0,0.0,0.0,2.0,216.5,2094.0,0.045709
369,0.0,0.0,0.0,0.0,0.0,0.0,3.0,221.0,1982.3333333333333,0.0604637
370,0.0,0.0,0.0,0.0,0.0,0.0,4.0,226.25,1876.5,0.0369283
371,0.0,0.0,0.0,0.0,0.0,0.0,6.0,219.16666666666666,1679.6666666666667,0.0118507
372,0.0,0.0,0.0,0.0,0.0,0.0,10.0,235.4,2277.6,0.0491223
373,0.0,0.0,0.0,0.0,0.0,0.0,20.0,223.0,1914.05,0.040974
375,0.0,0.0,0.0,0.0,0.0,0.0,21.0,225.52380952380952,1953.4285714285713,0.017257
376,0.0,0.0,0.0,0.0,0.0,0.0,25.0,221.68,1806.88,0.0168732
379,0.0,0.0,0.0,0.0,0.0,0.0,2.0,218.0,1576.0,0.0135947
385,0.0,0.0,0.0,0.0,0.0,0.0,2.0,171.0,1175.0,0.00114619
387,0.0,0.0,0.0,0.0,0.0,0.0,3.0,178.66666666666666,1213.0,1e-06
388,0.0,0.0,0.0,0.0,0.0,0.0,4.0,179.75,1229.0,0.00122425
389,0.0,0.0,0.0,0.0,0.0,0.0,5.0,182.6,1246.0,0.0186661
392,0.0,0.0,0.0,0.0,0.0,0.0,2.0,189.5,1541.0,0.0062703
394,0.0,0.0,0.0,0.0,0.0,0.0,3.0,193.33333333333334,1618.6666666666667,0.0411764
395,0.0,0.0,0.0,0.0,0.0,0.0,8.0,186.625,1385.75,0.0192767
396,0.0,0.0,0.0,0.0,0.0,0.0,9.0,188.66666666666666,1408.0,0.00221766
398,0.0,0.0,0.0,0.0,0.0,0.0,10.0,192.8,1515.1,0.0305119
